Date,OPEN,HIGH,LOW,LAST_PRICE,VOLUME
08/08/17 13:45,1775.6,1776.65,1775.15,1775.15,692
08/08/17 13:46,1775.0,1776.05,1775.0,1775.3,925
08/08/17 13:47,1776.0,1776.0,1775.1,1775.5,408
08/08/17 13:48,1776.5,1777.1,1776.0,1776.0,530
08/08/17 13:49,1776.0,1777.1,1776.0,1776.6,246
08/08/17 13:50,1777.1,1780.0,1777.1,1778.9,3771
08/08/17 13:51,1779.45,1780.35,1778.75,1778.75,824
08/08/17 13:52,1779.0,1781.1,1777.55,1779.3,8404
08/08/17 13:53,1779.5,1779.6,1778.05,1778.2,1804
08/08/17 13:54,1778.3,1779.05,1778.15,1779.05,331
08/08/17 13:55,1779.0,1779.85,1778.2,1778.2,1478
08/08/17 13:56,1778.2,1779.55,1778.2,1779.05,152
08/08/17 13:57,1779.05,1779.1,1777.6,1777.8,2282
08/08/17 13:58,1777.95,1779.0,1777.1,1777.1,2240
08/08/17 13:59,1776.6,1777.9,1776.35,1777.55,3089
08/08/17 14:00,1777.4,1778.2,1775.55,1775.55,1090
08/08/17 14:01,1776.0,1777.25,1775.8,1777.2,7309
08/08/17 14:02,1777.25,1778.25,1776.8,1778.25,957
08/08/17 14:03,1777.05,1777.9,1777.05,1777.25,862
08/08/17 14:04,1777.35,1777.95,1777.0,1777.55,697
08/08/17 14:05,1777.75,1777.95,1777.15,1777.15,874
08/08/17 14:06,1777.55,1777.85,1777.35,1777.4,963
08/08/17 14:07,1777.7,1778.0,1777.7,1778.0,801
08/08/17 14:08,1778.55,1779.0,1778.55,1778.9,1183
08/08/17 14:09,1778.9,1778.9,1776.6,1776.75,1561
08/08/17 14:10,1777.15,1779.2,1777.15,1778.9,4900
08/08/17 14:11,1778.9,1781.7,1778.8,1779.05,30061
08/08/17 14:12,1779.95,1779.95,1779.1,1779.1,643
08/08/17 14:13,1779.95,1779.95,1778.55,1779.05,738
08/08/17 14:14,1779.05,1779.5,1778.0,1778.0,1536
08/08/17 14:15,1778.0,1779.0,1777.7,1778.4,608
08/08/17 14:16,1778.4,1778.95,1778.05,1778.05,737
